,_1
1388,"['aflw', 'almost', 'inconceivable', 'coverage', 'breaking', 'new', 'ground']"
1389,"['perth', 'hospital', 'wins', 'funding', 'fight']"
1390,"['builders', 'welcome', 'big', 'budget', 'spend']"
1391,"['decision', 'nude', 'sunbaking', 'appeal', 'delayed']"
1392,"['floods', 'expected', 'worsen']"
1393,"['foreign', 'boat', 'caught', 'shark', 'fins', 'nt']"
1394,"['first', 'cut', 'montana', 'authorities', 'pick', 'plane']"
1395,"['tasmania', 'gonski', 'school', 'funding', 'submission', 'insufficient', 'union', 'say']"
1396,"['deal', 'sees', 'new', 'housing', 'lots', 'kununurra']"
1397,"['peris', 'takes', 'olympian', 'vision', 'red', 'centre']"
1398,"['rare', 'earths']"
1399,"['qld', 'floods', 'inquiry', 'continues', 'probe', 'contradictory', 'reports']"
1400,"['abc', 'news', 'quiz']"
1401,"['interview', 'anthony', 'griffin']"
1402,"['wbc', 'grants', 'hopkins', 'title', 'rematch']"
1403,"['cocaine', 'worth', '15000', 'allegedly', 'found', 'car', 'near', 'tamworth']"
1404,"['super', 'sized', 'ambulances', 'roll']"
1405,"['public', 'urged', 'continue', 'supporting', 'water', 'bans']"
1406,"['personal', 'debt', 'worse', 'depression']"
1407,"['james', 'merlino', 'move', 'prevent', 'euthanasia', 'fails']"
1408,"['fishing', 'minister', 'listen']"
1409,"['board', 'investegating', 'botched', 'burial', 'peter', 'little']"
1410,"['perfect', ""summer's"", 'day', 'radiance', 'visit']"
1411,"['hedgeland', 'sentenced', 'life', 'double', 'murder']"
1412,"['flames', 'fire', 'post', 'wnbl', 'wins']"
1413,"['healthscope', 'flooded', 'takeover', 'offers']"
1414,"['injured', 'machete', 'attack']"
1415,"['hunter', 'valley', 'mosque', 'plans', 'approved']"
1416,"['first', 'time', 'buyer', 'investors', 'surging', 'affordability']"
1417,"['swine', 'flu', 'pandemic', 'one', 'step', 'closer']"
1418,"['shepparton', 'councillor', 'cleared', 'code', 'conduct', 'breach', 'claims']"
1419,"['russia', 'vows', 'hunt', 'airport', 'attackers']"
1420,"['extended', 'interview', 'warwick', 'mckibbin']"
1421,"['power', 'lions', 'return', 'top', 'eight']"
1422,"['shot', 'koala', 'mend']"
1423,"['new', 'defence', 'helicopters', 'unsafe', 'audit']"
1424,"['pair', 'court', 'accused', '25m', 'fraud']"
1425,"['david', 'gonski', 'named', 'anz', 'chairman']"
1426,"['hawks', 'future', 'finals', 'contenders', 'clarkson']"
1427,"['bottle', 'shop', 'attendant', 'attacked']"
1428,"['colbert', 'replace', 'letterman', 'late', 'show', 'host']"
1429,"['interview', 'ariely']"
1430,"['union', 'welcomes', 'aduit', 'service', 'stations']"
1431,"['sex', 'marriage', 'support', 'map', 'vote', 'compass']"
1432,"['french', 'entertainment', 'industry', 'demands', '50', 'million', 'euros', 'govt', 'aid']"
1433,"['pig', 'cruelty', 'case', 'adjourned']"
1434,"['homebirth', 'way', 'go']"
1435,"['martyn', 'leads', 'aussies', 'twenty20', 'victory']"
1436,"['haase', 'rejects', 'tighter', 'alcohol', 'restrictions', 'push']"
1437,"['girl', 'killed', 'exploding', 'house']"
1438,"['liquor', 'restrictions', 'affect', 'halls', 'creek']"
1439,"['thompson', 'back', 'victory', 'training']"
1440,"['community', 'farewells', 'dead', 'police', 'officer']"
1441,"['hunter', 'workers', 'claim', 'company', ""'gun"", ""heads'""]"
1442,"['six', 'caught', 'far', 'north', 'drug', 'driving', 'crackdown']"
1443,"['berri', 'barmera', 'council', 'gets', '$3.5', 'million', 'multipurpose', 'sports', 'centre']"
1444,"['regional', 'centres', 'hope', 'attract', 'sydneysiders']"
1445,"['questions', 'remain', 'dreamliner', 'safety']"
1446,"['questioned', 'fatal', 'hit', 'run']"
1447,"['aboriginal', 'flag', 'fly', 'outside', 'council', 'offices']"
1448,"['council', 'green', 'lights', 'mental', 'health', 'facility']"
1449,"['anti', 'fireworks', 'petition', 'darwin', 'rural', 'area', 'kezia', 'purick']"
1450,"['obama', 'invites', 'warring', 'parties', 'economy', 'talks']"
1451,"['narrogin', 'mayor', 'supports', 'forced', 'council', 'mergers']"
1452,"['australia', 'india', 'champs', 'trophy', 'group']"
1453,"['residents', 'stressed', 'roofless', 'building', 'setback']"
1454,"['crop', 'research']"
1455,"['cause', 'dubbo', 'preschool', 'fire', 'determined']"
1456,"['aquarium', 'reef', 'fish', 'breeding', 'underway']"
1457,"['new', 'icac', 'coal', 'probe', 'begins']"
1458,"['mining', 'sector', 'losses', 'drive', 'australian', 'share', 'market', 'loss']"
1459,"['supreme', 'court', 'lenient', 'act', 'statistics']"
1460,"['howard', 'urged', 'boost', 'funds', 'tas', 'health']"
1461,"['fnc', 'budget', 'pre']"
1462,"['bulls', 'win', 'gabba', 'one', 'dayer']"
1463,"['us', 'reporters', 'jail', 'cia', 'agent', 'case']"
1464,"['ten', 'stand', 'trial', 'fatal', 'bikie', 'brawl']"
1465,"['trescothick', 'retires', 'england', 'duty']"
1466,"['shires', 'assn', 'welcomes', 'change', 'government']"
1467,"['cyclone', 'debbie', 'videos', 'show', 'rain', 'wind', 'lashing', 'north', 'queensland']"
1468,"['mosaic', 'oil', 'boosts', 'gas', 'output']"
1469,"['call', 'probe', 'wheat', 'debt', 'write']"
1470,"['pakistan', 'begins', 'oil', 'spill', 'clean']"
1471,"['abbas', 'receives', 'hero', 'welcome', 'west', 'bank']"
1472,"['possible', 'mystery', 'pneumonia', 'cases', 'reported', 'wa', 'nsw']"
1473,"['richie', 'porte', 'admits', 'missing', 'giro', ""d'italia"", 'choice']"
1474,"['domestic', 'violence', 'perpetrators', 'using', 'technology', 'track', 'victims']"
1475,"['farm', 'safety', 'body', 'pushes', 'quick', 'changes', 'quad']"
1476,"['us', 'may', 'hold', 'acquitted', 'guantanamo', 'inmates']"
1477,"['ashes', 'podcast', 'fifth', 'test', 'day', '2']"
1478,"['cable', 'car', 'project', 'secures', 'full', 'financial', 'backing;', 'promoter']"
1479,"['melbournes', 'new', 'monsters']"
1480,"['tas', 'support', 'teachers', 'continue', 'pay', 'battle']"
1481,"['helped', 'needed', 'nab', 'serial', 'arsonist']"
1482,"['business', 'sas', 'nigel', 'mcbride', 'argues', 'needs']"
1483,"['us', 'govt', 'urged', 'reassess', 'iraq', 'budget']"
1484,"['new', 'phone', 'tower', 'causing', 'concern', 'corlette']"
1485,"['listen', 'tania', 'paul', 'chat', 'carl', 'curtain']"
1486,"['65yr', 'old', 'bundamba', 'missing']"
1487,"['joe', 'williams', 'heading', 'us', 'speak', 'native', 'americans']"
1488,"['police', 'investigate', 'arson', 'kerang']"
1489,"['lnp', 'cuts', 'meeting', 'short', 'election', 'looms']"
1490,"['report', 'claims', 'mines', ""'downplay'"", 'environmental', 'health', 'cos']"
1491,"['indonesian', 'court', 'rejects', 'bali', 'bombers', 'torture']"
1492,"['tourism', 'exchange', 'promote', 'wa', 'regions']"
1493,"['socceroos', 'defeated', 'brazil']"
1494,"['nutritionist', 'welcomes', 'labors', 'cartoon', 'food', 'ban']"
1495,"['teacher', 'vote', 'closes']"
1496,"['united', 'nations', 'gone', 'dogs']"
1497,"['science', 'behind', 'dr']"
1498,"['flood', 'link', 'sick', 'dolphins']"
1499,"['drought', 'prompts', 'mid', 'west', 'crisis', 'meeting']"
1500,"['rocket', 'attack', 'injures', 'israeli', 'soldiers']"
1501,"['researcher', 'finds', 'new', 'fish', 'species']"
1502,"['shearing', 'day']"
1503,"['johnson', 'changes', 'mind', 'signs', 'scorchers']"
1504,"['jets', 'take', 'victory', 'melbourne']"
1505,"['denied', 'bail', 'muslim', 'abuse', 'newcastle']"
1506,"['concern', 'leave', 'entitlements', 'western', 'catholic', 'teachers']"
1507,"['pokies', 'review', 'response', 'pathetic']"
1508,"['successful', 'rock', 'lobster', 'season']"
1509,"['peter', 'greste', 'sisi', 'seeks', 'resolution']"
1510,"['new', 'name', 'interstate', 'rail', 'terminal']"
1511,"['three', 'dead', 'two', 'injured', 'sydney', 'crash']"
1512,"['market', 'jumps', 'mining', 'gains']"
1513,"['argentina', 'air', 'stunt', 'accident']"
1514,"['sick;', 'feed', 'hungry;', 'welcome']"
1515,"['quilty', 'portraits', 'displayed', 'australian', 'memorial']"
1516,"['child', 'labour', 'still', 'rampant', 'cambodia', 'unicef']"
1517,"['fears', 'young', 'hospitality', 'workers', 'could', 'suffer']"
1518,"['baton', 'travel', 'ararat', 'ballarat']"
1519,"['murray', 'basin', 'plan', 'caica']"
1520,"['interview', 'tyler', 'wright']"
1521,"['potro', 'wozniacki', 'walk']"
1522,"['car', 'demolishes', 'kitchen', 'crashes', 'house']"
1523,['grandstand']
1524,"['police', 'officers', 'deliver', 'baby', 'pulling', 'speeding', 'car']"
1525,"['indian', 'sentenced', 'drugs']"
1526,"['china', 'manufacturing', 'sector', 'posts', 'surprise', 'contraction']"
1527,"['ex', 'lover', 'car', 'ramming', 'case']"
1528,"['snappers', 'ulu', 'rules', 'eased']"
1529,"['talks', 'focus', 'tatiara', 'drought', 'aid', 'application']"
1530,"['abc', 'news', 'finance', 'report']"
1531,"['saudi', 'police', 'capture', 'wanted', 'militant']"
1532,"['cahill', 'trick', 'seals', 'everton', 'win']"
1533,"['reed', 'hwy']"
1534,"['biden', 'vows', 'tackle', 'gun', 'violence', 'ny', 'massacre']"
1535,"['policeman', 'plotted', 'kidnap', 'roast', 'eat', 'women']"
1536,"['police', 'investigate', 'serial', 'indecent', 'exposer']"
1537,"['nardella', 'may', 'claimed', '250k', 'opposition', 'says']"
1538,"['gumnut', 'babies', 'ready', 'stage']"
1539,"['thomas', 'klim', 'seal', 'injury', 'comebacks']"
1540,"['mystery', 'cattle', 'deaths']"
1541,"['banning', 'bikie', 'colours', ""'wont"", 'stop', ""shootings'""]"
1542,"['waratahs', 'spoil', 'umagas', 'farewell']"
1543,"['world', 'markets', 'close']"
1544,"['klc', 'demand', 'compulsory', 'land', 'acquisition']"
1545,"['zimbabwean', 'faces', 'jail', 'massacre', 'art']"
1546,"['next', 'generation', 'young', 'farmers', 'plough']"
1547,"['agtech', 'experts', 'among', 'helping', 'kids', 'code']"
1548,"['five', 'dead', 'english', 'chopper', 'crash']"
1549,"['gary', 'ablett', 'certain', 'starter', 'gold', 'coast', 'suns', 'afl', 'opener']"
1550,"['13m', 'scheme', 'target', 'kalgoorlie', 'alcohol', 'woes']"
1551,"['ww', 'drug', 'squad']"
1552,"['economic', 'focus', 'china', 'congress']"
1553,"['libs', 'say', 'labor', 'green', 'honeymoon']"
1554,"['coal', 'processing', 'wpg', 'resources']"
1555,"['opposition', 'demands', 'youth', 'justice', 'centre', 'probe']"
1556,"['questions', 'childcare', 'centre', 'kids', 'hospital']"
1557,"['aussies', 'shine', 'madrid']"
1558,"['kearney', 'rules', 'marshall', 'anzac', 'test']"
1559,"['3', 'remain', 'hospital', 'hangar', 'collapse']"
1560,"['riley', 'steer']"
1561,"['gets', '16', 'years', 'student', 'kidnapping']"
1562,"['returning', 'life', 'droving']"
1563,"['gathering', 'discusses', 'enforcing', 'reef', 'protection']"
1564,"['grandstand', 'breakfast', 'june', '10']"
1565,"['nsw', 'farmers', 'meet', 'sydney', '15', '07', '14']"
1566,"['nypd', 'responds', 'nz', 'polices', 'dance', 'challenge', 'social', 'media']"
1567,"['chinalco', 'denies', 'involvement', 'rio', 'staff', 'arrest']"
1568,"['industry', 'condemns', 'early', 'red', 'gum', 'logging']"
1569,"['sydney', 'well', 'prepared', 'london', 'style', 'attack']"
1570,"['obama', 'waxed', 'lyrical', 'ahead', 'inauguration']"
1571,"['margaret', 'river', 'pro', 'joins', 'world', 'surfing', 'tour']"
1572,"['birmingham', 'rape', 'sentence']"
1573,"['planning', 'application', 'process', 'changes', 'welcomed']"
1574,"['aussie', 'fredericks', 'leads', 'eventing']"
1575,"['hundreds', 'young', 'muttonbirds', 'rescued', 'coffs', 'harbour']"
1576,"['jetstar', 'media', 'conference']"
1577,"['ten', 'russian', 'areas', 'carrying', 'bird', 'flu']"
1578,"['mildura', 'backpackers']"
1579,"['david', 'moyes', 'heartened', 'manchester', 'united', 'reaction']"
1580,"['lukewarm', 'support', 'third', 'canberra', 'hospital']"
1581,"['transgender', 'student', 'finds', 'acceptance', 'new', 'safe', 'schools']"
1582,"['upper', 'hunter', ""winery's"", 'waste', 'warning']"
1583,"['g8', 'backs', '3b', 'aid', 'plan', 'palestinians']"
1584,"['teams', 'prepare', 'three', 'peaks', 'challenge']"
1585,"['pair', 'injured', 'broken', 'hill', 'shooting']"
1586,"['eric', 'abetz', 'worried', 'resignations', 'liberal', 'party']"
1587,"['thriller', 'cards', 'hobart', 'looms']"
1588,"['spend', 'defence', 'health']"
1589,"['lover', 'hid', 'dead', 'chef', 'freezer']"
1590,"['govt', 'urged', 'take', 'british', 'lead', 'iraq']"
1591,"['shirley', 'finn', 'murder', 'inquest', 'told', 'officer', 'confessed', 'murder']"
1592,"['federal', 'funds', 'revamp', 'maitland', 'church']"
1593,"['tas', 'prisoners', 'take', 'guard', 'hostage']"
1594,"['police', 'lay', 'charges', 'drug', 'bust']"
1595,"['china', 'commerce', 'giant', 'launches', 'online', 'shopping']"
1596,"['india', 'recall', 'ganguly', 'pakistan', 'series']"
1597,"['govt', 'urged', 'crack', 'street', 'racing']"
1598,"['illawarra', 'gets', 'new', 'medical', 'chopper']"
1599,"['hanson', 'jailing', 'seen', 'witch', 'hunt']"
1600,"['half', 'million', 'tipped', 'join', 'class', 'action', 'bank']"
1601,"['defence', 'minister', 'fronts', 'williamtown', 'residents', 'contamination']"
1602,"['public', 'get', 'vote', 'fluoridation']"
1603,"['robert', 'mugabes', 'future', 'unclear']"
1604,"['bushwalkers', 'urged', 'carry', 'gps', 'locators']"
1605,"['cq', 'radiology', 'awarded', 'medical', 'imaging', 'services']"
1606,"['nsw', 'death', 'toll', '5', 'bodies', 'found']"
1607,"['fraser', 'jolly', 'magpies', 'boost', 'ruck', 'stocks']"
1608,"['interview', 'peter', 'sharp']"
1609,"['dvd', 'market', 'explodes', 'piracy']"
1610,"['cannes', 'pits', 'hollywood', 'obscure', 'arthouse']"
1611,"['stoner', 'moves', 'kill', 'assen']"
1612,"['mayor', 'willing', 'wait', 'police', 'station', 'funding']"
1613,"['one', 'plus', 'one', 'jean', 'kittson']"
1614,"['ukraine', 'conflict', 'refugee', 'camps', 'russia']"
1615,"['parliament', 'break', '4', 'months']"
1616,"['tobey', 'maguire', 'ties', 'knot']"
1617,"['pre', 'budget', 'banter', 'without', 'speculation']"
1618,"['latham', 'attacks', 'former', 'colleagues']"
1619,"['contador', 'uppercut', 'hits', 'evans', 'hard']"
1620,"['fed', 'govt', 'grants', '6m', 'new', 'aged', 'centre']"
1621,"['pm', 'calls', 'oct', '9', 'poll']"
1622,"['alice', 'hostel', 'gets', '2m', 'upgrade']"
1623,"['national', 'biodiesel', 'grading', 'system', 'development']"
1624,"['pet', 'owners', 'make', 'stronger', 'neighbour', 'ties', 'uwa', 'study', 'finds']"
1625,"['vic', 'country', 'hour', '11', 'september', '2013']"
1626,"['shipwrecks', 'expedition', 'sets', 'sights', 'finding', 'wwii']"
1627,"['council', 'drills', 'fresh', 'ivanhoe', 'water']"
1628,"['aboriginal', 'indigenous', 'populations', 'coolah', 'dunedoo', 'nsw']"
1629,"['obama', 'meet', 'netanyahu', 'abbas']"
1630,"['nrn', 'dist', 'international', 'landcare']"
1631,"['clashes', 'rage', 'yemen', 'calls', 'peace', 'talks', 'grow']"
1632,"['activists', 'condemn', 'african', 'gay', 'blood', 'ban']"
1633,"['bosca', 'rejects', 'snowy', 'hydro', 'cash', 'grab', 'claims']"
1634,"['gattuso', 'banned', 'headbutt']"
1635,"['mps', 'vote', 'could', 'put', 'malaysian', 'solution', 'doubt']"
1636,"['michael', 'clarke', 'opens', 'aussie', 'cricket', 'fraught', 'captaincy']"
1637,"['korea', 'cooperating', 'nukes', 'disablement', 'us']"
1638,"['rudds', 'health', 'system', 'remedy']"
1639,"['girl', 'attacked', 'college', 'grounds']"
1640,"['hunter', 'pool', 'owners', 'failing', 'register']"
1641,"['showing', 'respect', 'women', 'afl', 'way']"
1642,"['australia', 'hurt', 'selectors', 'says', 'boycott']"
1643,"['benitez', 'backs', 'kewell', 'liverpool', 'close', 'united']"
1644,"['project', 'officer', 'aaron', 'simmons', 'explains', 'skye']"
1645,"['woodward', 'admits', 'error', '16th', 'blunder']"
1646,"['us', 'russia', 'landmark', 'arms', 'treaty']"
1647,"['costello', 'hints', 'beattie', 'eyeing', 'canberra', 'tilt']"
1648,"['pine', 'creek', 'campsite', 'fire']"
1649,"['cooke', 'coming', 'boil']"
1650,"['authority', 'tests', 'tourist', 'bushfire', 'warning', 'system']"
1651,"['hewitt', 'accuses', 'coria', 'spitting']"
1652,"['miners', 'weigh', 'local', 'market']"
1653,"['bluesfest', 'showcase', 'indigenous', 'artists']"
1654,"['cautious', 'thumbs', 'indigenous', 'budget', 'measures']"
1655,"['questions', 'raised', 'budget', 'ads']"
1656,"['edington', 'smashes', 'seebohms', 'backstroke', 'mark']"
1657,"['wide', 'bay', 'development', 'plan', 'still', 'show']"
1658,"['western', 'nsw', 'councils', 'talk', 'mergers']"
1659,"['coal', 'industry', 'says', 'renewable', 'energy', 'target']"
1660,"['hospital', 'scorecards', 'could', 'disadvantage', 'older']"
1661,"['culvert', 'removal', 'may', 'slow', 'traffic']"
1662,"['melbourne', 'surgeons', 'heart', 'valve', 'breakthrough']"
1663,"['petrol', 'issues', 'bigger', 'medicare']"
1664,"['truckie', 'survives', 'rock', 'thrown', 'windscreen']"
1665,"['market', 'closes', 'week', 'upbeat', 'note']"
1666,"['grandstand', 'weekender', 'october', '31']"
1667,"['kalgoorlie', 'boulder', 'mayor', 'defends', 'youth', 'council']"
1668,"['bulldogs', 'maitua', 'charged', 'drink', 'driving']"
1669,"['accc', 'hears', 'local', 'views', 'water', 'charges']"
1670,"['interview', 'kevin', 'gordon']"
1671,"['group', 'urges', 'uni', 'places', 'aspiring', 'rural']"
1672,"['andrews', 'announces', 'work', 'visa', 'crackdown']"
1673,"['tomic', 'rolls', 'wins', 'open']"
1674,"['wall', 'st', 'us', 'shares', 'add', 'gains', 'oil', 'prices', 'keep', 'rising']"
1675,"['hobart', 'found', 'dead', 'ahead', 'child', 'sex', 'trial']"
1676,"['boat', 'blast', 'probe', 'begins', 'injured', 'arrive']"
1677,"['howard', 'backs', 'sons', 'political', 'spam', 'campaign']"
1678,"['picasso', 'painting', 'femmes', ""d'alger""]"
1679,"['glenelg', 'wimmera', 'water', 'rivers', 'drought', 'livestock', 'native', 'species']"
1680,"['media', 'conference', 'neil', 'hnery', 'alan', 'tongue']"
1681,"['craig', 'farrell', 'says', 'new', 'salary', 'justified']"
1682,"['saints', 'season', 'win', 'lions']"
1683,"['mcgrath', 'lee', 'play', 'england', 'gabba']"
1684,"['search', 'begins', 'armstrongs', 'successor']"
1685,"['japan', 'expects', 'aceh', 'peace', 'talks', 'go', 'ahead']"
1686,"['climate', 'change', 'likely', 'increase', 'famine', 'fao']"
1687,"['body', 'found', 'search', 'missing', 'tasmanian', 'tattoo', 'artist']"
1688,"['howard', 'set', 'lose', 'bennelong', 'poll']"
1689,"['georgian', 'pm', 'dead', 'gas', 'leak']"
1690,"['lifeline', 'former', 'theatre']"
1691,"['theres', 'much', 'money']"
1692,"['qch', 'fishermen', 'split', 'government', 'paid', 'appearance']"
1693,"['abandoned', 'odi', 'wrap']"
1694,"['turkey', 'police', 'raid', 'explosion', 'injures', 'several']"
1695,"['elderly', 'woman', 'hurt', 'bridge', 'crash']"
1696,"['mickelson', 'peoples', 'champion']"
1697,"['nasa', 'says', 'second', 'mars', 'rover', 'experiencing', 'problems']"
1698,"['queensland', 'farmers', 'welcome', 'drought', 'cash', 'announcement']"
1699,"['annan', 'admits', 'tough', 'year']"
1700,"['mildura', 'traders', 'rally', 'support', 'special']"
1701,"['gipsy', 'moth', 'returns', 'sydney', 'harbour']"
1702,"['great', 'gatsby', 'wins', 'accta', 'awards']"
1703,"['lucky', 'escape', 'croc', 'bites', 'boy']"
1704,"['lagoon', 'management', 'plan', 'go', 'show']"
1705,"['james', 'hird', 'says', 'essendon', 'bombers', 'moved', 'sam', 'mitchel']"
1706,"['stage', 'one', 'renmark', 'irrigation', 'trust', 'project', 'begins']"
1707,"['reconciliation', 'push', 'attempt', 'win', 'young', 'voters']"
1708,"['international', 'wheat', 'prices', 'skyrocket']"
1709,"['preparations', 'made', 'bring', 'home', 'bodies', 'crash']"
1710,"['wild', 'winds', 'keep', 'rescue', 'authorities', 'busy']"
1711,"['nature', 'forestry', 'policy', 'mistake', 'labor', 'mp']"
1712,"['convicted', 'narre', 'warren', 'hit', 'run']"
1713,"['police', 'anti', 'social', 'crackdown']"
1714,"['fisherman', 'drowns', 'north', 'west']"
1715,"['foreign', 'doctors', 'need', 'extra', 'support', 'rural', 'gp']"
1716,"['clp', 'officials', 'discuss', 'leadership', 'issues']"
1717,"['baxter', 'detainee', 'stages', 'protest', 'compound', 'roof']"
1718,"['car', 'crashes', 'tree', 'near', 'bendigo']"
1719,"['forum', 'revisits', 'plan', 'lift', 'west', 'coast', 'fortunes']"
1720,"['police', 'union', 'removing', 'handcuffs', 'court']"
1721,"['rafa', 'still', 'best', 'federer']"
1722,"['jail', 'p', 'plate', 'driver']"
1723,"['job', 'agency', 'struggles', 'find', 'affordable']"
1724,"['uranium', 'exploration', 'nod', 'angers', 'greens']"
1725,"['greens', 'concerned', 'forestry', 'appointment']"
1726,"['thaksin', 'return', 'thailand', 'planned']"
1727,"['nsw', 'greens', 'step', 'lobbying', 'great', 'koala', 'national', 'park']"
1728,"['labor', 'denies', 'crackdown', 'skilled', 'migrants', 'driven', 'one', 'nation']"
1729,"['elderly', 'killed', 'train', 'accident']"
1730,"['us', 'probe', 'killing', 'iraqi', 'envoys', 'cousin']"
1731,"['kalgoorlie', 'records', 'extra', 'wet', 'march']"
1732,"['hoddle', 'street', 'killer', 'keeps', 'fighting', 'files']"
1733,"['flying', 'lab', 'checks', 'health', 'planet']"
1734,"['melbourne', 'woman', 'launches', 'chook', 'aid']"
1735,"['rain', 'adds', 'little', 'qld', 'dams']"
1736,"['nursing', 'home', 'responded', 'quickly', 'fatal', 'gastro']"
1737,"['public', 'invited', 'view', 'water', 'supply', 'solutions']"
1738,"['gender', 'gap', 'easy', 'fix', 'experts', 'say']"
1739,"['selby', 'fullgrabe', 'could', 'saved', 'expert', 'says']"
1740,"['tourism', 'industry', 'business', 'grants', 'funding', 'boost']"
1741,"['manslaughter', 'victims', 'mother', 'disgusted', 'sentence']"
1742,"['figures', 'show', 'nsw', 'still', 'drought', 'stricken']"
1743,"['dpi', 'thank', 'long', 'serving', 'ouyen', 'staff']"
1744,"['mp', 'says', 'eco', 'tourism', 'resort', 'promises', 'local', 'benefits']"
1745,"['farm', 'financial', 'counselling', 'services', 'limbo']"
1746,"['telecommunications', 'report', 'doesnt', 'surprise', 'farmers']"
1747,"['suu', 'kyi', 'australia', 'day', '2']"
1748,"['high', 'price', 'palm', 'oil', 'campaign', 'get']"
1749,"['quality', 'impresses', 'wine', 'show', 'manager']"
1750,"['tasmania', 'airbnb', 'lets', 'permit', 'free', 'six', 'weeks', 'hobart', 'rentals']"
1751,"['button', 'calls', 'time', 'villeneuve', 'feud']"
1752,"['thieves', 'follow', 'digger', 'ransack', 'home']"
1753,"['tea', 'tree', 'oil', 'trialled', 'flystrike']"
1754,"['talkaboutit', 'ep4', 'preview']"
1755,"['22', 'killed', 'iraq', 'suicide', 'attack']"
1756,"['portable', 'levee', 'place', 'floodwaters', 'approach']"
1757,"['pilots', 'reckless', 'flying', 'charges', 'permanently', 'grounded']"
1758,"['emu', 'runner', 'film', 'brings', 'opportunities', 'brewarrina', 'locals']"
1759,"['court', 'hears', 'evidence', 'strangling', 'case']"
1760,"['piero', 'stars', 'sky', 'blues', 'thrashing']"
1761,"['40', 'pc', 'young', 'drink', 'alcohol']"
1762,"['helguera', 'gives', 'real', 'edge']"
1763,"['oconnor', 'suspended', 'toulon', 'future', 'uncertain']"
1764,"['funding', 'drought', 'restricting', 'iraqi', 'refugee', 'plans']"
1765,"['school', 'jazz', 'band', 'takes', 'jazz', 'challenge']"
1766,"['japan', 'floods', 'red', 'cross']"
1767,"['upper', 'hunter', 'mourns', 'loss', 'local', 'livestock', 'reporter', 'commun']"
1768,"['us', 'election', 'donald', 'trump', 'begins', 'united', 'states']"
1769,"['rio', 'tinto', 'iron', 'ore', 'production', 'misses', 'analyst', 'forecasts']"
1770,"['robbie', 'williams', 'concert', 'noisier', 'football']"
1771,"['india', 'turns', 'aid', 'islands']"
1772,"['new', 'markers', 'help', 'identify', 'women', 'risk', 'breast', 'cancer']"
1773,"['nrn', 'steve', 'whan', 'drought', 'payments']"
1774,"['rabobanks', 'paul', 'beiboer']"
1775,"['budget', 'shows', 'complete', 'transformation', 'say', 'backbenchers']"
1776,"['rice', 'holds', 'seebohm']"
1777,"['mackay', 'passengers', 'give', 'jetstar', 'thumbs']"
1778,"['clp', 'labor', 'election', 'rural', 'sector', 'policy']"
1779,"['business', 'confidence', 'falls', '2', 'year', 'low']"
1780,"['police', 'link', 'spike', 'pilbara', 'assaults', 'coles', 'liquorland', 'cards']"
1781,"['libyan', 'weapons', 'smuggled', 'gaza']"
1782,"['freightlink', 'goes', 'administration']"
1783,"['psychiatrist', 'tells', 'threat', 'mcgee', 'trial']"
1784,"['beale', 'takes', 'john', 'eales', 'medal']"
1785,"['studio', '2000', 'administration']"
1786,"['ivory', 'coast', 'leader', 'defiant', 'summit', 'convenes']"
1787,"['local', 'food', 'economy', 'deloraine']"
1788,"['quieter', 'criminal', 'courts', 'nsw', 'report']"
1789,"['philippines', 'postpones', 'asian', 'summits']"
1790,"['big', 'increase', 'western', 'power', 'complaints']"
1791,"['brothers', 'almost', 'stabbed', 'apy', 'lands', 'death', 'jailed']"
1792,"['crime', 'bureau', 'identifies', 'risk', 'youth']"
1793,"['defence', 'teaming', 'centre', 'adelaide', 'build']"
1794,"['ozzy', 'osbourne', 'wiped', 'pills', 'report']"
1795,"['indigenous', 'communities', 'golden', 'staph', 'threat']"
1796,"['navy', 'finds', 'final', 'missing', 'containers']"
1797,"['former', 'atsic', 'chairman']"
1798,"['aussie', 'trio', 'bow', 'final', 'ashes', 'test']"
1799,"['anglers', 'carping', 'reservoir', 'fish', 'woes']"
1800,"['kiribati', 'prepares', 'rising', 'levels']"
1801,"['russian', 'film', 'wins', 'golden', 'lion', 'venice', 'festival']"
1802,"['international', 'aid', 'agency', 'ensure', 'breakfast']"
1803,"['day', 'fit', 'firing', 'us', 'open']"
1804,"['art', 'thieves', 'trial', 'offer', 'deal', 'stolen', 'masterpieces']"
1805,"['push', 'reopen', '4wd', 'tracks', 'threaten', 'aboriginal', 'heritage']"
1806,"['worlds', 'deepest', 'underwater', 'cave', 'hranicka', 'propast', 'discovered']"
1807,"['one', 'plus', 'one', 'fred', 'watson']"
1808,"['wa', 'police', 'net', 'cannabis', 'crop']"
1809,"['course', 'chosen', 'adventure', 'race']"
1810,"['law', 'professor', 'says', 'knock', 'offs', 'source', 'innovation']"
1811,"['livestock', 'report', 'richard', 'bailey']"
1812,"['alleged', 'child', 'killer', 'admits', 'lied', 'police']"
1813,"['rape', 'victim', 'abortion', 'court', 'told']"
1814,"['maxwell', ""pies'"", 'important:', 'obrien']"
1815,"['australia', 'vs', 'england', 'one', 'day', 'summary']"
1816,"['industry', 'disagrees', 'ammonium', 'nitrate', 'ban']"
1817,"['inquest', 'told', 'deceased', 'vet', 'paedophile']"
1818,"['funds', 'revealed', 'south', 'east', 'waste', 'management']"
1819,"['police', 'call', 'juvenile', 'support', 'services']"
